文本,意图
我的眼镜在哪,QUERY_OBJECT
钥匙在哪呢,QUERY_OBJECT
我的手机存放在哪,QUERY_OBJECT
眼镜放在哪里了,QUERY_OBJECT
我的证件在哪,QUERY_OBJECT
医保卡放哪了,QUERY_OBJECT
我的钱包在哪,QUERY_OBJECT
手表存放在哪,QUERY_OBJECT
遥控器放哪了,QUERY_OBJECT
充电器在哪里,QUERY_OBJECT
雨伞放哪了,QUERY_OBJECT
书本在哪里,QUERY_OBJECT
银行卡密码是多少,PRIVACY_QUERY
银行卡秘密是什么,PRIVACY_QUERY
我的银行卡密码,PRIVACY_QUERY
卡的密码是多少,PRIVACY_QUERY
银行卡的PIN码,PRIVACY_QUERY
支付宝密码是什么,PRIVACY_QUERY
微信支付密码,PRIVACY_QUERY
门锁密码是多少,PRIVACY_QUERY
保险箱密码,PRIVACY_QUERY
现在的血压多少,HEALTH_STATUS
当前血压值,HEALTH_STATUS
血压现在是多少,HEALTH_STATUS
我的血压情况,HEALTH_STATUS
血压测量结果,HEALTH_STATUS
心率现在多少,HEALTH_STATUS
血氧饱和度,HEALTH_STATUS
体温多少度,HEALTH_STATUS
最近的体重,HEALTH_STATUS
还要多久吃这个药品,MEDICINE_USAGE
这个药还要吃多久,MEDICINE_USAGE
药品使用期限,MEDICINE_USAGE
某某药品如何使用,MEDICINE_USAGE
这个药怎么服用,MEDICINE_USAGE
药品使用说明,MEDICINE_USAGE
阿莫西林如何使用,MEDICINE_USAGE
高血压药怎么吃,MEDICINE_USAGE
止痛药怎么服用,MEDICINE_USAGE
感冒药使用方法,MEDICINE_USAGE
维生素怎么吃,MEDICINE_USAGE
钙片使用说明,MEDICINE_USAGE
我现在的血压是多少,HEALTH_STATUS
当前血压是多少,HEALTH_STATUS
现在血压怎么样,HEALTH_STATUS
我的血压是多少,HEALTH_STATUS
血压读数是多少,HEALTH_STATUS
测一下我的血压,HEALTH_STATUS
请告诉我现在的血压,HEALTH_STATUS
我想知道我的血压值,HEALTH_STATUS
现在血压值是多少,HEALTH_STATUS
血压值现在多少,HEALTH_STATUS
我现在的血压是多少,HEALTH_STATUS
当前血压是多少,HEALTH_STATUS
现在血压怎么样,HEALTH_STATUS
我的血压是多少,HEALTH_STATUS
血压读数是多少,HEALTH_STATUS
测一下我的血压,HEALTH_STATUS
请告诉我现在的血压,HEALTH_STATUS
我想知道我的血压值,HEALTH_STATUS
现在血压值是多少,HEALTH_STATUS
血压值现在多少,HEALTH_STATUS
我现在的血压是多少,HEALTH_STATUS
当前血压是多少,HEALTH_STATUS
现在血压怎么样,HEALTH_STATUS
我的血压是多少,HEALTH_STATUS
血压读数是多少,HEALTH_STATUS
测一下我的血压,HEALTH_STATUS
请告诉我现在的血压,HEALTH_STATUS
我想知道我的血压值,HEALTH_STATUS
现在血压值是多少,HEALTH_STATUS
血压值现在多少,HEALTH_STATUS
